titres_potions;liens;desc_globale;effects;Groupes_actions;difficulté;Propriété_chimique;Couleur;inventeur;ingredients;premiere_apparition;lien_image
Philtre d'apathie;https://harrypotter.fandom.com/fr/wiki/Philtre_d%27apathie;Le philtre d'apathie (  angl.  Dawdle Draught ) est une potion magique qui réduit les chances qu'un Sceau disparaisse avec le Retrouvable, ce qui donne plus d'occasions de terminer le trace. Cette potion était préparée et utilisée par les sorciers et sorcières volontaires employés par le Groupe...;Réduit les chances qu'un Sceau disparaisse avec le Retrouvable;Chance;Avancé;Liquide;Orange;;"['Fève sopophorique', 'Caramel au beurre', ""Carapace de bernard-l'ermite"", 'Valériane']";Harry Potter: Wizards Unite;https://static.wikia.nocookie.net/harrypotter/images/b/b6/Dawdle_Draught.png/revision/latest?cb=20190805165933&path-prefix=fr
Potion d'apocyn;https://harrypotter.fandom.com/fr/wiki/Potion_d%27apocyn;La potion d'apocyn (  angl.  Dogbane Potion ) est vraisemblablement un poison pour animaux fait à partir d'apocyn.;Poison pour animaux;Poison;Intermédiaire;Liquide;Violet;;['Apocyn'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/2/24/Potion_d%27apocyn.jpg/revision/latest?cb=20151123203614&path-prefix=fr
Baume d'asclépiade tubéreuse;https://harrypotter.fandom.com/fr/wiki/Baume_d%27ascl%C3%A9piade_tub%C3%A9reuse;Le baume d'asclépiade tubéreuse (  angl.  Butterfly Weed Balm ) est un baume médicinal probablement fait à partir d'asclépiade tubéreuse.;Soigne;Soin;Intermédiaire;Liquide;Blanc;;['Asclépiade tubéreuse'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/8/85/Baume_d%27ascl%C3%A9piade_tub%C3%A9reuse.jpg/revision/latest?cb=20151113153004&path-prefix=fr
Potion aveuglante;https://harrypotter.fandom.com/fr/wiki/Potion_aveuglante;La potion aveuglante (  angl.  Mopsus Potion ) est une potion qui a pour effet d'aveugler. La potion Oculus permet probablement d'annuler les effets de cette potion.;Aveugle;Affaiblissant;Intermédiaire;Liquide;Vert;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/a/a1/Potion_aveuglante.jpg/revision/latest/scale-to-width-down/350?cb=20151119234516&path-prefix=fr
Potion de Babillage;https://harrypotter.fandom.com/fr/wiki/Potion_de_Babillage;La potion de Babillage (  angl.  Babbling Beverage ) est un breuvage magique qui provoque chez le buveur des propos insensés. Dans le jeu Harry Potter : Secret à Poudlard, le cadet de Jacob peut apprendre comment concocter cette potion avec l'aide de son préfet. Le cadet teste d'ailleurs sa...;Produit des propos insensés;Contrôle-mental;Intermédiaire;Liquide;Orange;;['Aconit'];Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/c/c5/Potion_de_Babillage.png/revision/latest?cb=20200505154956&path-prefix=fr
Goutte Baillon;https://harrypotter.fandom.com/fr/wiki/Goutte_Baillon;La Goutte Baillon (  angl.  Muffling Draught ) est une potion qui empêche le buveur de parler. Ses vapeurs suffisent à ce que la personne l'utilisant en ressente les effets.;Empêche de parler;Contrôle-mental;Intermédiaire;Fumant;Bleu;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/b/b3/Goutte_Baillon.jpg/revision/latest?cb=20151125144118&path-prefix=fr
Baume pour le bec;https://harrypotter.fandom.com/fr/wiki/Baume_pour_le_bec;Le baume pour le bec (  angl.  Beak Balm ) est un produit curatif pour le bec de certaines créatures magiques. D'après le site officiel de MinaLima, ce baume est à appliquer avec une cuillère à café sur la zone endommagée du bec et ce, toutes les heures jusqu'à guérison. Si l'infection persiste...;Soigne;Soin;Débutant;Liquide;Noir;;0;Les Animaux fantastiques (film);https://static.wikia.nocookie.net/harrypotter/images/e/e4/Baume_pour_le_bec.jpg/revision/latest?cb=20231202095040&path-prefix=fr
Potion de beauté;https://harrypotter.fandom.com/fr/wiki/Potion_de_beaut%C3%A9;Une potion de beauté (  angl.  Beautifying Potion ou Beautification Potion ) est le nom générique de potions magiques qui permettent de modifier son physique. Sacharissa Tugwood est la pionnière des potions de beauté. Les potions de beauté peuvent être de deux types : Elles peuvent permettre de...;Rend séduisant;Métamorphose;Avancé;Liquide;Variable;Zygmunt Budge;['Rosée du matin', 'Pétales de rose', 'Alchémille', 'Crin de licorne', 'Gingembre', 'Aile de fée'];Harry Potter et la Chambre des Secrets (jeu);https://static.wikia.nocookie.net/harrypotter/images/9/92/Potion_de_beaut%C3%A9.png/revision/latest?cb=20150227101000&path-prefix=fr
Potion bombœil;https://harrypotter.fandom.com/fr/wiki/Potion_bomb%C5%93il;Le potion bombœil (  angl.  Bulgeye Potion ) est une potion qui affecte probablement la vue.;Aveugle;Affaiblissant;Intermédiaire;Liquide;Vert;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/9/90/Potion_bomb%C5%93il.jpg/revision/latest?cb=20151122125751&path-prefix=fr
Philtre Calmant;https://harrypotter.fandom.com/fr/wiki/Philtre_Calmant;Le philtre Calmant (  angl.  Calming Draught ) est une potion utilisée pour détendre une personne stressée ou en état de choc. À l'approche des BUSE, Hannah Abbot fond en larmes pendant un cours de botanique et geint qu'elle est trop stupide pour réussir ses examens et demande à quitter l'école...;Détend;Soin;Intermédiaire;Liquide;Bleu;;['Lavande', 'Cœur de crocodile', 'Menthe'];Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/0/02/Filtre_calmant.jpg/revision/latest?cb=20190722085507&path-prefix=fr
Potion Capillours;https://harrypotter.fandom.com/fr/wiki/Potion_Capillours;La potion Capillours (  angl.  Manegro Potion ) est une potion qui fait pousser les cheveux du buveur à grande vitesse. Dans la version anglaise, Manegro est probablement composé de deux termes anglais : mane signifiant « crinière (d'un lion, d'un cheval) » et grow (« pousser, grossir...;Fait pousser les cheveux;Fortifiant;Débutant;Liquide;Marron;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/5/52/Potion_Capillours.jpg/revision/latest?cb=20151125144009&path-prefix=fr
Élixir Cérébral de Baruffio;https://harrypotter.fandom.com/fr/wiki/%C3%89lixir_C%C3%A9r%C3%A9bral_de_Baruffio;L'Élixir Cérébral de Baruffio (  angl.  Baruffio's Brain Elixir ) est une potion destinée à augmenter la concentration et l'agilité mentale et à diminuer le besoin de sommeil. Eddie Carmichael fait du marché noir avec une bouteille d'Élixir Cérébral de Baruffio qu'il essaie de vendre à des...;Stimule la concentration;Fortifiant;Avancé;Liquide;Incolore;Baruffio;['Oeuf de Runespoor', 'Champignon vénéneux sauteur', 'Cerveau de grenouille', 'Griffe de dragon'];Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/7/79/%C3%89lixir_C%C3%A9r%C3%A9bral_de_Baruffio.jpg/revision/latest/scale-to-width-down/306?cb=20170418161019&path-prefix=fr
Breuvage de champignon mortel;https://harrypotter.fandom.com/fr/wiki/Breuvage_de_champignon_mortel;Le breuvage de champignon mortel (  angl.  Death-Cap Draught ) est un poison probablement fait à partir de calice de la mort.;Poison;Poison;Intermédiaire;Liquide;Rouge;;['Calice de la mort'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/e/e9/Philtre_du_Calice_de_la_Mort.jpg/revision/latest?cb=20151125185503&path-prefix=fr
Baume de chiendent étoilé;https://harrypotter.fandom.com/fr/wiki/Baume_de_chiendent_%C3%A9toil%C3%A9;La baume de chiendent étoilé (  angl.  Star Grass Salve ) est un baume vraisemblablement fait à partir de chiendent étoilé.;Soigne;Soin;Intermédiaire;Liquide;Vert;;['Chiendent étoilé'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/a/a7/Baume_de_chiendent_%C3%A9toil%C3%A9.jpg/revision/latest?cb=20151123214755&path-prefix=fr
Cirage à cornes revigorant;https://harrypotter.fandom.com/fr/wiki/Cirage_%C3%A0_cornes_revigorant;Le cirage à cornes revigorant (  angl.  Healthy Horn Polish ) est une potion soignante pour les cornes de créatures magiques. Il est particulièrement efficace pour les cornes d'Éruptif, de Grapcorne, de Re'em et de Tébo. Norbert Dragonneau en possède dans sa valise.;Soigne;Soin;Intermédiaire;Liquide;Inconnue;;0;Les Animaux fantastiques (film);https://static.wikia.nocookie.net/harrypotter/images/3/36/Cirage_%C3%A0_cornes_revigorant.jpg/revision/latest?cb=20161114164255&path-prefix=fr
Philtre de Confusion;https://harrypotter.fandom.com/fr/wiki/Philtre_de_Confusion;Le philtre de Confusion (  angl.  Confusing Concoction ou Confusing Draught ) est une potion qui incite à des conduites impétueuses et téméraires, tout comme le philtre d'Embrouille. Les élèves de troisième année doivent préparer pour leur épreuve de potions un philtre d'Embrouille. Harry Potter...;Incite à des conduites impétueuses et téméraires;Contrôle-mental;Débutant;Liquide;Inconnue;;['Cranson officinal', 'Livèche', 'Achillée sternutatoire'];Harry Potter et le prisonnier d'Azkaban;
Potion crache-flammes;https://harrypotter.fandom.com/fr/wiki/Potion_crache-flammes;La potion crache-flammes (  angl.  Fire-Breathing Potion ) est une potion dangereuse qui peut faire cracher du feu à un individu. Rubeus Hagrid demande au cadet de Jacob de l'aider à concocter cette potion pour libérer son chien des Filets du Diable. Quand le cadet de Jacob demande à Severus...;Fait cracher des flammes;Pouvoir quelconque;Débutant;Liquide;Rouge;;['Lavande', 'Menthe', 'Graine de feu', 'Corne de dragon', 'Valériane'];Harry Potter : Secret à Poudlard;https://static.wikia.nocookie.net/harrypotter/images/f/fa/Potion_de_Souffle_de_Feu_2.png/revision/latest?cb=20180506080315&path-prefix=fr
Philtre Dégonflant;https://harrypotter.fandom.com/fr/wiki/Philtre_D%C3%A9gonflant;Le philtre Dégonflant (  angl.  Deflating Draught ) est une potion qui sert d'antidote à la potion d'Enflure. Harry Potter a fait exploser un pétard du Dr Flibuste dans le chaudron de Gregory Goyle qui contenait de la potion d'Enflure. Hermione Granger profite de la diversion pour sortir de la...;Antidote à enflure;Antidote;Avancé;Liquide;Inconnue;;0;Harry Potter et la Chambre des Secrets;
Goutte désopilante;https://harrypotter.fandom.com/fr/wiki/Goutte_d%C3%A9sopilante;La goutte désopilante (  angl.  Alihotsy Draught ) est une potion qui provoque l'hystérie.;Rend hystérique;Hallucinogène;Débutant;Liquide;Blanc;;['Alihotsy'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/c/c4/Goutte_d%C3%A9sopilante.png/revision/latest?cb=20151123203503&path-prefix=fr
Essence de dictame;https://harrypotter.fandom.com/fr/wiki/Essence_de_dictame;L'essence de dictame (  angl.  essence of dittany ) est une potion qui permet de soigner les plaies. Il ne suffit que de quelques gouttes pour que la plaie se referme, comme si elle datait de plusieurs jours, laissant place à une peau neuve. Lorsqu'elle agit, une fumée verdâtre s'élève. Hermione...;Soigne;Soin;Débutant;Liquide;Noir;;['Dictame'];Harry Potter et les Reliques de la Mort;https://static.wikia.nocookie.net/harrypotter/images/6/61/Essence_de_dictame.jpg/revision/latest?cb=20180424174607&path-prefix=fr
Doxycide;https://harrypotter.fandom.com/fr/wiki/Doxycide;Le Doxycide est une potion de couleur noire qui s'applique avec un pulvérisateur. Il sert à éliminer les Doxys qui peuvent peupler les maisons. Il les paralyse temporairement, ce qui permet aux sorciers de s'en débarrasser sans risquer de se faire mordre. Mettre cinq mesures de Bandimon dans le...;Paralyse les Doxys;Contrôle-mental;Débutant;Liquide;Noir;Zygmunt Budge;['Bandimon', 'Foie de dragon', 'Musard', 'Essence de chassevache', 'Essence de ciguë', 'Teinture de tormentille'];Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/8/8c/Doxycide_Pottermore.png/revision/latest?cb=20150215121357&path-prefix=fr
Poison de dragon;https://harrypotter.fandom.com/fr/wiki/Poison_de_dragon;Le poison de dragon (  angl.  Dragon Poison ) est un poison probablement fait à partir de parties de dragon.;Poison;Poison;Avancé;Liquide;Jaune;;['Partie de dragon'];Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/5/5c/Poison_Dragon.jpg/revision/latest?cb=20151113152858&path-prefix=fr
Dragonfortant;https://harrypotter.fandom.com/fr/wiki/Dragonfortant;Le Dragonfortant (  angl.  Dragon Tonic ) est une potion médicinale pour dragons. En 1992, d'après le jeu Harry Potter à l'école des sorciers sur PS1, Hagrid concocte du Dragonfortant qu'il donne à son dragon Norbert qui ne se sent pas bien.;Soigne les dragons;Soin;Avancé;Liquide;Inconnue;;['Plume de paon', 'Plume de hibou grand-duc', 'Verrue de crapaud violet géant'];Harry Potter à l'école des sorciers (jeu);
Efface-Boutons dix secondes garanties;https://harrypotter.fandom.com/fr/wiki/Efface-Boutons_dix_secondes_garanties;L'Efface-Boutons dix secondes garanties (  angl.  Guaranted Ten-Second Pimple Vanisher ) est une potion vendue chez Weasley, Farces pour sorciers facétieux. Chez Weasley, Farces pour sorciers facétieux, Ginny essaye de détourner l'attention de ses frères Fred et George qui lui posent des...;Soin du visage;Soin;Intermédiaire;Liquide;Rouge;;0;Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/d/de/Efface-Boutons_dix_secondes_garanties.jpg/revision/latest?cb=20160427153603&path-prefix=fr
Philtre d'Embrouille;https://harrypotter.fandom.com/fr/wiki/Philtre_d%27Embrouille;Le philtre d'Embrouille (  angl.  Befuddlement Draught ) est une potion qui incite à des conduites impétueuses et téméraires, tout comme le philtre de Confusion. Dans un chaudron rempli d'eau et sur le feu : Ajouter du cranson officinal Ajouter de la livèche Ajouter de l'achillée sternutatoire...;Incite à des conduites impétueuses et téméraires;Contrôle-mental;Intermédiaire;Liquide;Vert;;['Cranson officinal', 'Livèche', 'Achillée sternutatoire'];Harry Potter et l'Ordre du Phénix;https://static.wikia.nocookie.net/harrypotter/images/d/de/Philtre_d%27Embrouille.jpg/revision/latest?cb=20151201180656&path-prefix=fr
Potion d'Enflure;https://harrypotter.fandom.com/fr/wiki/Potion_d%27Enflure;La potion d'Enflure (  angl.  Swelling Solution ) est une potion qui fait enfler la personne visée. Ajouter 2 mesures d'orties séchées dans le mortier. Ajouter 3 yeux de poisson dans le mortier. Écraser avec le pilon jusqu'à l'obtention d'une poudre moyenne à fine. Ajouter 2 mesures du mélange...;Fait enfler;Affaiblissant;Débutant;Liquide;Orange;;['Oeil de poissons', 'Ortie séchée', 'Foie de chauve-souris'];Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/1/10/Potion_d%27Enflure.jpg/revision/latest?cb=20120403163238&path-prefix=fr
Engrais;https://harrypotter.fandom.com/fr/wiki/Engrais;L'engrais (  angl.  fertiliser ), que l'on appelle aussi fertilisant, est une potion assurant une meilleure croissance aux plantes. L'engrais est souvent utilisé en botanique pour assurer une meilleure croissance aux plantes. Une fois préparé, si l'engrais est mélangé à de la bouse de dragon à...;Fertilise;Jardin;Intermédiaire;Liquide;Vert;;['Poudre rouge sombre', 'Oeil de Boullu', 'Bouse de dragon', 'Os', 'Algue sèche', 'Cervelle de paresseux', 'Hippocampe volant', 'Liquide blanc', 'Thorax de libellules grillés', 'Rate de rat', 'Mandragore'];Harry Potter et la Chambre des Secrets;https://static.wikia.nocookie.net/harrypotter/images/5/5c/Engrais_2.jpg/revision/latest/scale-to-width-down/350?cb=20170430201707&path-prefix=fr
Élixir éternel;https://harrypotter.fandom.com/fr/wiki/%C3%89lixir_%C3%A9ternel;L'élixir éternel (  angl.  Everlasting Elixir ) est une potion traitée dans le Manuel avancé de préparation des potions et étudiée en sixième année en cours de potions à Poudlard. Harry Potter étudie à la bibliothèque de Poudlard avec Hermione Granger. Il prend des notes sur les élixirs éternels...;Rend éternel les objets;Fortifiant;Avancé;Liquide;Inconnue;;0;Harry Potter et le Prince de Sang-Mêlé;
Élixir d'Euphorie;https://harrypotter.fandom.com/fr/wiki/%C3%89lixir_d%27Euphorie;L'élixir d'Euphorie (  angl.  Elixir to Induce Euphoria ) est une potion qui met le buveur de bonne humeur. Les effets secondaires qui consistent à donner un peu trop envie de chanter et de tordre le nez d'autrui peuvent être atténués en ajoutant de la menthe. Dans un chaudron rempli d'eau et...;Rend de bonne humeur;Fortifiant;Intermédiaire;Liquide;Jaune;;['Épine de porc-épic', 'Menthe', 'Fève sopophorique', 'Figue', 'Armoise'];Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/4/40/%C3%89lixir_d%27Euphorie.jpg/revision/latest/scale-to-width-down/350?cb=20151204190227&path-prefix=fr
Everklena;https://harrypotter.fandom.com/fr/wiki/Everklena;Everklena est une potion sous forme de vaporisateur inventée par Erica Stainwright. Vendue dans les années 1950, cette potion prétendait être un nettoyant efficace, mais son inventrice connut la honte lorsque l'on découvrit qu'elle apportait crasse et moisissures.;Salit;Outil;Intermédiaire;Liquide;Incolore;Erica Stainwright;0;Site officiel de J.K. Rowling;https://static.wikia.nocookie.net/harrypotter/images/f/fd/Everklena.jpg/revision/latest?cb=20160330195650&path-prefix=fr
Potion explosive;https://harrypotter.fandom.com/fr/wiki/Potion_explosive;La potion explosive (  angl.  Exploding Potion ) est une potion rare et très instable. Si elle est manipulée sans soin, elle peut exploser à tout moment.;Explose;Effet externe;Avancé;Liquide;Bleu;;0;Harry Potter et les Reliques de la Mort : 1ère partie (jeu);https://static.wikia.nocookie.net/harrypotter/images/b/ba/Potion_explosive.jpg/revision/latest?cb=20161013160319&path-prefix=fr
Potion exstimulo;https://harrypotter.fandom.com/fr/wiki/Potion_exstimulo;La potion exstimulo (  angl.  Exstimulo Potion ) est une potion magique qui permet d'améliorer les incantations dans les traces et les défis de sorciers. La Potion exstimulo renforcée et la Potion exstimulo puissante sont des variantes significativement plus puissante de cette potion. Cette...;Améliore les incantations dans les traces et les défis de sorciers;Fortifiant;Débutant;Liquide;Bleu;;"['Lewisie', ""Sang de Re'em"", 'Perce-neige', 'Poil de gronian']";Harry Potter: Wizards Unite;https://static.wikia.nocookie.net/harrypotter/images/0/05/Potion_exstimulo.jpg/revision/latest/scale-to-width-down/350?cb=20190804123135&path-prefix=fr
Vapeurs de fatigue;https://harrypotter.fandom.com/fr/wiki/Vapeurs_de_fatigue;Les vapeurs de fatigue (  angl.  Fatiguing Fusion ) est une potion qui épuise celui qui la boit. Le simple fait d'en inhaler les vapeurs est suffisant pour provoquer la fatigue.;Fatigue;Affaiblissant;Intermédiaire;Liquide;Vert;;0;Harry Potter Trading Card Game;https://static.wikia.nocookie.net/harrypotter/images/7/79/Vapeurs_de_fatigue.jpg/revision/latest?cb=20151125152017&path-prefix=fr
Felix Felicis;https://harrypotter.fandom.com/fr/wiki/Felix_Felicis;Felix Felicis, aussi appelé chance liquide, est une potion qui procure temporairement au buveur une chance exceptionnelle. Elle fut inventée au seizième siècle par le sorcier Zygmunt Budge. Le Felix Felicis est une potion très difficile à préparer. Il faut prévoir six mois pour la préparer. Il...;Rend chanceux;Chance;Avancé;Liquide;Doré;Zygmunt Budge;"['Oeuf de Serpencendre', 'Raifort', 'Bulbe de scille', 'Tentacules de Murlap', 'Alcoolature dethym', ""Oeuf d'Occamy"", 'Poudre de Ruta']";Harry Potter et le Prince de Sang-Mêlé;https://static.wikia.nocookie.net/harrypotter/images/7/7a/Felix_Felicis_Pottermore.jpg/revision/latest?cb=20160225133503&path-prefix=fr
Potion des flammes noires;https://harrypotter.fandom.com/fr/wiki/Potion_des_flammes_noires;La potion des flammes noires (  angl.  Black Fire Potion ), aussi appelée potion de protection contre le feu (  angl.  Fire Protection Potion ) ou potion de glace (  angl.  Ice Potion ) est une potion qui permet à celui qui la boit de passer au travers d'un brasier obscur sans se brûler. Severus...;Protège d'un brasier obscur;Fortifiant;Avancé;Liquide;Bleu;;0;Harry Potter à l'école des sorciers;https://static.wikia.nocookie.net/harrypotter/images/6/64/Potion_des_flammes_noires.jpg/revision/latest?cb=20151124111854&path-prefix=fr
